DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tempPesqFileDeg.wav	 2.586	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.577	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.307	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.621	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.581	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.805	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.392	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.985	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.550	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.668	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.328	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.621	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.581	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.791	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.586	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.577	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.307	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.673	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.814	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.432	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.621	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.581	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.814	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.432	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.567	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.264	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.805	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.392	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.673	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.668	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.328	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.577	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.307	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.791	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.586	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.985	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.550	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.680	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.464	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.758	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.418	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.577	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.258	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.699	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.513	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.873	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.558	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.767	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.352	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.744	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.321	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.660	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.598	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.646	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.529	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.436	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 1.943	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.705	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.575	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.740	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.400	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.752	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.632	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.513	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.559	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.236	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.856	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.541	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.725	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.303	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.640	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.579	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.688	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.561	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.689	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.499	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.416	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 1.921	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.684	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.335	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.771	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.314	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.598	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.365	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.789	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.360	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.613	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
